,close,predictions,to change,buy & hold result,algo result from "yesterday"
5527,917.27,1,-0.001907835,936.0566571,1190.697453
5528,915.52,0,0.000513369,934.2708153,1188.425799
5529,915.99,1,1.09171E-05,934.7504414,1188.425799
5530,916,1,0.018515284,934.7606462,1188.438773
5531,932.96,1,0.007084977,952.0680049,1210.443054
5532,939.57,1,0.058377769,958.8133846,1219.019015
5533,994.42,1,-0.020041833,1014.78677,1290.182625
5534,974.49,1,-0.003581361,994.4485831,1264.325
5535,971,0,-0.001009269,990.8871042,1259.796996
5536,970.02,0,0.005123606,989.8870327,1259.796996
5537,974.99,0,0.00206156,994.9588236,1259.796996
5538,977,0,-0.003971341,997.0099905,1259.796996
5539,973.12,0,0.003586402,993.050524,1259.796996
5540,976.61,0,0.001003471,996.6120029,1259.796996
5541,977.59,0,0.0103213,997.6120743,1259.796996
5542,987.68,1,-0.00865665,1007.908728,1259.796996
5543,979.13,0,0.009671852,999.1836152,1248.891374
5544,988.6,1,-0.007768562,1008.847571,1248.891374
5545,980.92,1,-0.02472169,1001.010276,1239.189285
5546,956.67,1,-0.027418023,976.2636107,1208.554432
5547,930.44,0,0.012391987,949.4963926,1175.418259
5548,941.97,1,0.026550739,961.2625392,1175.418259
5549,966.98,1,-0.007280399,986.7847703,1206.626482
5550,959.94,1,-0.00073963,979.6005837,1197.84176
5551,959.23,1,-0.000135525,978.8760422,1196.955801
5552,959.1,0,-0.001105203,978.7433796,1196.793583
5553,958.04,1,0.001534383,977.6616697,1196.793583
5554,959.51,0,-0.000781649,979.1617769,1198.629923
5555,958.76,1,0.006821311,978.3964161,1198.629923
5556,965.3,0,-0.003926241,985.0703622,1206.80615
5557,961.51,1,-0.003244896,981.202739,1206.80615
5558,958.39,1,0.003443275,978.0188381,1202.89019
5559,961.69,0,-0.002703574,981.3864256,1207.032071
5560,959.09,1,0.003200951,978.7331748,1207.032071
5561,962.16,1,0.001382306,981.8660517,1210.895721
5562,963.49,0,0.006756687,983.2232915,1212.56955
5563,970,0,-0.004381443,989.8666231,1212.56955
5564,965.75,0,-0.005953922,985.5295786,1212.56955
5565,960,1,-0.002260417,979.6618126,1212.56955
5566,957.83,0,0.002380381,977.4473687,1209.828638
5567,960.11,1,0.00517649,979.7740655,1209.828638
5568,965.08,0,-0.004113649,984.8458563,1216.091304
5569,961.11,1,-0.009239317,980.7945465,1216.091304
5570,952.23,1,0.004263676,971.7326748,1204.855451
5571,956.29,1,-9.41137E-05,975.8758279,1209.992564
5572,956.2,0,0.004078645,975.7839846,1209.878687
5573,960.1,0,0.000124987,979.7638607,1209.878687
5574,960.22,0,-0.000562371,979.8863184,1209.878687
5575,959.68,1,-0.007533761,979.3352586,1209.878687
5576,952.45,0,-0.001291406,971.9571806,1200.76375
5577,951.22,1,2.10256E-05,970.7019889,1200.76375
5578,951.24,1,0.00303814,970.7223985,1200.788997
5579,954.13,1,-0.002221919,973.6715888,1204.437161
5580,952.01,0,0.002268884,971.508169,1201.760999
5581,954.17,0,0.001603488,973.712408,1201.760999
5582,955.7,1,-0.002239196,975.273744,1201.760999
5583,953.56,1,-0.0029888,973.0899146,1199.07002
5584,950.71,0,0.000925624,970.1815436,1195.48624
5585,951.59,0,0.000126105,971.0795669,1195.48624
5586,951.71,0,-0.001796766,971.2020246,1195.48624
5587,950,1,0.004421053,969.457002,1195.48624
5588,954.2,0,0.000838399,973.7430225,1200.771547
5589,955,0,-1.04712E-05,974.5594073,1200.771547
5590,954.99,0,0.001162316,974.5492025,1200.771547
5591,956.1,0,0.001757138,975.6819365,1200.771547
5592,957.78,0,0.007527825,977.3963446,1200.771547
5593,964.99,0,1.03628E-05,984.754013,1200.771547
5594,965,1,0.003637306,984.7642179,1200.771547
5595,968.51,0,0.000495607,988.3461064,1205.139121
5596,968.99,1,0.000732722,988.8359373,1205.139121
