,,,,buy & hold result,algo result from "yesterday",algo w/ shorting
,close,predictions,to change,1000,1000,1000
82,189.6508,1,-0.005602402,1143.762107,1191.158386,1236.566626
83,188.5883,1,0.002000654,1146.05038,1193.541482,1239.040569
84,188.9656,1,0.058910193,1213.564429,1263.853241,1312.032688
85,200.0976,1,0.029230735,1249.03781,1300.796601,1350.384368
86,205.9466,1,0.002892983,1252.651255,1304.559783,1354.291007
87,206.5424,1,0.005192638,1259.15582,1311.333891,1361.323351
88,207.6149,1,-0.00937505,1247.351171,1299.04007,1348.560877
89,205.6685,1,0.000676331,1248.194794,1299.918651,1349.47295
90,205.8076,1,0.007864627,1258.01138,1310.142027,1360.086052
91,207.4262,1,-0.002978409,1254.264508,1306.239888,1356.03516
92,206.8084,1,0.006457185,1262.363525,1314.67452,1364.791329
93,208.1438,1,0.004212953,1267.681803,1320.213182,1370.54113
94,209.0207,1,0.002336132,1270.643276,1323.297374,1373.742896
95,209.509,1,0.014649967,1289.258158,1342.683638,1393.868184
96,212.5783,1,0.019970053,1315.004712,1369.497102,1421.703806
97,216.8235,1,-0.00974387,1302.191477,1356.1529,1407.850909
98,214.7108,1,-0.001949133,1299.653332,1353.509577,1405.10682
99,214.2923,0,4.66652E-05,1299.713981,1353.509577,1405.04125
100,214.3023,0,0.002045708,1302.372817,1353.509577,1402.166945
101,214.7407,1,0.003109331,1306.422325,1357.718087,1406.526747
102,215.4084,1,0.008234591,1317.180179,1368.898339,1418.108919
103,217.1822,1,0.008075708,1327.817341,1379.953163,1429.561153
104,218.9361,1,0.01492947,1347.64095,1400.555132,1450.903743
105,222.2047,1,0.009193775,1360.030858,1413.431521,1464.243026
106,224.2476,1,0.011553747,1375.74431,1429.761951,1481.160519
107,226.8385,1,0.003207128,1380.156498,1434.34738,1485.91079
108,227.566,1,-0.006524701,1371.15139,1424.988693,1476.215667
109,226.0812,1,-0.016617481,1348.366308,1401.30897,1451.684681
110,222.3243,0,-0.008068394,1337.487158,1401.30897,1463.397445
111,220.5305,0,-0.013420366,1319.537591,1401.30897,1483.036774
112,217.5709,0,0.025282793,1352.899186,1401.30897,1445.541462
113,223.0717,0,-0.012419325,1336.097091,1401.30897,1463.494112
114,220.3013,0,0.024155554,1368.371257,1401.30897,1428.142601
115,225.6228,0,-0.011351246,1352.838538,1401.30897,1444.353799
116,223.0617,1,-0.026626265,1316.8175,1363.997346,1405.896052
117,217.1224,0,0.001652524,1318.993572,1363.997346,1403.572775
118,217.4812,0,0.000595454,1319.778972,1363.997346,1402.737012
119,217.6107,0,0.007602108,1329.812074,1363.997346,1392.073254
120,219.265,0,-0.010771441,1315.488082,1363.997346,1407.067889
121,216.9032,0,0.014380147,1334.404995,1363.997346,1386.834045
122,220.0223,0,0.006340721,1342.866084,1363.997346,1378.040518
123,221.4174,0,-0.00796595,1332.16888,1363.997346,1389.01792
