,close,predictions
0,17604.8,0.0
1,19345.5,0.0
2,19065.7,0.0
3,18972.3,0.0
4,17523.7,0.0
5,16462.0,0.0
6,15632.1,1.0
7,13665.0,1.0
8,14396.5,1.0
9,13790.0,1.0
10,13833.5,1.0
11,15756.6,1.0
12,15416.6,1.0
13,14398.7,1.0
14,14392.6,1.0
15,12531.5,0.0
16,13850.4,0.0
17,13444.9,1.0
18,14754.1,0.0
19,15156.6,1.0
20,15180.1,1.0
21,16954.8,1.0
22,17172.3,1.0
23,16228.2,0.0
24,14976.2,1.0
25,14778.5,0.0
26,15043.0,0.0
27,13535.4,0.0
28,13886.7,0.0
29,14292.2,0.0
30,13695.2,0.0
31,13697.5,0.0
32,11362.0,1.0
33,11192.3,1.0
34,11245.4,0.0
35,11580.2,0.0
36,12858.9,0.0
37,11594.9,0.0
38,10864.8,0.0
39,10903.2,0.0
40,11452.3,0.0
41,11203.0,1.0
42,11118.1,1.0
43,11467.5,0.0
44,11795.1,0.0
45,11244.8,1.0
46,10166.0,1.0
47,10265.4,0.0
48,9181.1,1.0
49,8893.2,0.0
50,9241.1,0.0
51,8222.2,1.0
52,6938.5,0.0
53,7701.2,0.0
54,7594.7,1.0
55,8164.2,0.0
56,8699.8,1.0
57,8559.6,1.0
58,8081.9,1.0
59,8903.5,0.0
60,8539.2,1.0
61,9476.3,1.0
62,10037.3,1.0
63,10178.7,1.0
64,11073.5,0.0
65,10398.8,0.0
66,11169.4,1.0
67,11238.7,1.0
68,10473.0,1.0
69,9841.7,0.0
70,10170.4,0.0
71,9704.3,0.0
72,9585.2,1.0
73,10285.1,1.0
74,10594.4,1.0
75,10333.9,1.0
76,10904.5,1.0
77,10827.7,1.0
78,11402.3,1.0
79,11416.5,1.0
80,11330.6,1.0
81,10675.1,1.0
82,9902.9,1.0
83,9300.0,1.0
84,9217.0,0.0
85,8762.0,0.0
86,9529.6,0.0
87,9137.4,1.0
88,9154.9,0.0
89,8210.6,0.0
90,8264.4,0.0
91,8289.2,0.0
92,7874.9,0.0
93,8201.2,0.0
94,8616.8,1.0
95,8912.6,0.0
96,8905.9,0.0
97,8726.2,0.0
98,8916.8,0.0
99,8547.4,0.0
100,8473.2,0.0
101,8143.5,0.0
102,7801.7,1.0
103,7954.9,1.0
104,7129.2,1.0
105,6853.7,0.0
106,6938.2,0.0
107,6825.2,1.0
108,7068.4,1.0
109,7424.2,1.0
110,6808.9,0.0
111,6782.0,0.0
112,6624.3,1.0
113,6905.7,1.0
114,7030.5,0.0
115,6781.9,1.0
116,6854.8,1.0
117,6962.1,1.0
118,7926.6,0.0
119,7887.4,0.0
120,8004.4,1.0
121,8363.6,0.0
122,8070.0,0.0
123,7908.6,1.0
124,8178.4,1.0
125,8290.8,1.0
126,8867.0,0.0
127,8923.1,0.0
128,8806.7,1.0
129,8952.8,0.0
130,9645.3,0.0
131,8873.1,1.0
132,9287.0,1.0
133,8940.9,1.0
134,9352.4,1.0
135,9415.1,0.0
136,9245.1,1.0
137,9074.9,1.0
