,close,predictions
0,999.8,0.0
1,999.8,0.0
2,999.8,0.0
3,999.8,0.0
4,999.8,0.0
5,999.79,0.0
6,999.8,0.0
7,999.93,0.0
8,999.93,0.0
9,999.5,0.0
10,999.5,0.0
11,999.91,0.0
12,999.92,0.0
13,999.93,0.0
14,999.93,0.0
15,999.93,0.0
16,999.92,0.0
17,999.92,0.0
18,999.54,0.0
19,999.47,0.0
20,999.92,0.0
21,999.93,0.0
22,999.99,0.0
23,1000.0,0.0
24,1000.0,0.0
25,1000.0,0.0
26,1000.0,0.0
27,999.94,0.0
28,999.35,0.0
29,999.43,0.0
30,999.81,0.0
31,999.9,0.0
32,1000.0,0.0
33,1000.0,0.0
34,1000.0,0.0
35,1000.0,0.0
36,999.9,0.0
37,999.9,0.0
38,999.99,0.0
39,999.99,0.0
40,1000.0,0.0
41,1000.0,0.0
42,999.9,0.0
43,1000.0,0.0
44,1000.0,0.0
45,1000.0,0.0
46,1000.0,0.0
47,999.99,0.0
48,1000.0,0.0
49,999.92,0.0
50,999.9,0.0
51,999.98,0.0
52,999.95,0.0
53,999.51,0.0
54,999.63,0.0
55,999.56,0.0
56,999.56,0.0
57,999.56,0.0
58,999.64,0.0
59,999.64,0.0
60,999.63,0.0
61,999.61,0.0
62,999.97,0.0
63,999.6,0.0
64,999.41,0.0
65,999.65,0.0
66,999.73,0.0
67,999.66,0.0
68,999.75,0.0
69,999.9,0.0
70,999.8,0.0
71,999.69,0.0
72,999.72,0.0
73,999.34,0.0
74,999.29,0.0
75,999.2,0.0
76,999.19,0.0
77,999.2,0.0
78,999.24,0.0
79,998.6,1.0
80,997.88,0.0
81,997.7,0.0
82,995.97,0.0
83,997.28,0.0
84,997.22,1.0
85,997.07,1.0
86,996.99,1.0
87,994.93,1.0
88,994.2,0.0
89,993.86,0.0
90,992.94,0.0
91,992.02,1.0
92,991.63,0.0
93,991.69,0.0
94,991.91,1.0
95,992.4,1.0
96,992.75,1.0
97,992.88,0.0
98,994.82,1.0
99,995.72,1.0
100,995.61,0.0
101,995.07,0.0
102,995.41,0.0
103,996.36,0.0
104,996.36,0.0
105,996.62,0.0
106,996.82,0.0
107,996.83,0.0
108,996.95,0.0
109,996.87,0.0
110,996.87,0.0
111,996.87,0.0
112,996.86,0.0
113,996.87,0.0
114,996.87,0.0
115,996.87,0.0
116,996.87,0.0
117,996.86,0.0
118,996.84,0.0
119,996.87,0.0
120,996.87,0.0
121,996.87,0.0
122,996.87,0.0
123,996.85,0.0
124,996.28,0.0
125,996.87,0.0
126,996.67,0.0
127,996.83,0.0
128,996.84,0.0
129,996.85,0.0
130,996.85,0.0
131,996.7,0.0
132,996.98,0.0
133,996.99,0.0
134,997.0,0.0
135,996.88,0.0
136,997.0,0.0
137,997.0,0.0
138,996.46,0.0
139,997.85,1.0
140,997.01,0.0
141,997.99,0.0
142,997.92,0.0
143,998.0,0.0
144,998.0,0.0
145,998.0,0.0
146,998.0,0.0
147,998.0,0.0
148,998.0,0.0
149,998.01,0.0
150,998.01,0.0
151,998.08,0.0
152,998.74,0.0
153,997.99,0.0
154,998.0,0.0
155,998.0,0.0
156,996.03,0.0
157,995.54,0.0
158,994.73,0.0
159,993.42,0.0
160,993.01,0.0
161,992.15,0.0
162,992.6,0.0
163,993.0,0.0
164,994.44,1.0
165,994.21,0.0
166,996.08,1.0
167,996.99,1.0
168,996.59,0.0
169,996.3,0.0
170,997.0,1.0
171,996.64,1.0
172,997.0,1.0
173,996.9,0.0
174,996.82,0.0
175,996.75,0.0
176,997.0,0.0
177,997.2,0.0
178,998.44,1.0
179,998.35,1.0
180,998.4,0.0
181,997.02,0.0
182,996.08,0.0
183,995.77,0.0
184,996.02,1.0
185,995.07,1.0
186,992.29,0.0
187,993.96,0.0
188,992.45,1.0
189,993.85,1.0
190,993.82,1.0
191,993.85,1.0
192,993.39,0.0
193,993.82,0.0
194,993.85,0.0
195,993.5,0.0
196,993.82,0.0
197,993.4,0.0
198,992.51,0.0
199,993.0,0.0
200,993.0,0.0
201,993.0,0.0
202,992.87,0.0
203,992.98,0.0
204,992.95,0.0
205,992.86,0.0
206,992.98,0.0
207,992.99,0.0
208,992.99,0.0
209,992.99,0.0
210,992.99,0.0
